Time,AVG SSRA (µM),Stdev ssrA (µM)
0,0.036668167,0.003233362
0.200033333,1.125126509,0.336184516
0.400030556,2.927135299,0.840899272
0.600027778,3.793337268,1.22822
0.800033333,4.188068657,1.537711393
1.000030556,4.389190568,1.595296756
1.200033333,4.451021501,1.526720633
1.400030556,4.247320062,1.458385116
1.600027778,4.019233249,1.429812069
1.800033333,3.758368762,1.43827358
2.000030556,3.510560928,1.456711853
2.200027778,3.244134555,1.455757854
2.400033333,2.996305519,1.458321083
2.600030556,2.770586218,1.444661639
2.800033333,2.556230975,1.417484804
3.000030556,2.378611038,1.379379668
3.200027778,2.21560607,1.336782632
3.400163889,2.0742232,1.285273582
3.600152778,1.956352905,1.236812004
3.80015,1.842917278,1.18702584
4.000155556,1.744573656,1.128593218
4.200152778,1.653120554,1.072819565
4.400158333,1.571868956,1.022489275
4.600155556,1.500218149,0.978927254
4.800158333,1.445178795,0.941318873
5.000163889,1.381316042,0.893289076
5.200161111,1.331269666,0.862353279
5.40015,1.28424805,0.825232558
5.600155556,1.240176991,0.798422756
5.800152778,1.203042389,0.765346683
6.000158333,1.172070385,0.741345256
6.200155556,1.127437483,0.71501573
6.40015,1.086991898,0.681253364
6.600163889,1.054715995,0.66288291
6.800161111,1.02381113,0.638509997
7.000161111,0.994453981,0.616666813
7.200155556,0.961457224,0.589911562
7.400152778,0.938718508,0.577663674
7.600158333,0.907969121,0.557994413
7.800152778,0.881788678,0.536660764
8.00015,0.852537538,0.518528632
8.200158333,0.82783414,0.495954541
8.400161111,0.804851606,0.485660769
8.600166667,0.780317821,0.463670815
8.800163889,0.751003075,0.439961595
9.000152778,0.722674204,0.42307285
9.200158333,0.710387877,0.410039129
9.400152778,0.683454778,0.391683266
9.60015,0.667970542,0.378595059
9.800158333,0.647793686,0.36715918
10.00015278,0.624814686,0.347498993
10.20016667,0.606909934,0.329973439
10.40016111,0.582294877,0.319622097
10.60015278,0.56917462,0.301628752
10.80015833,0.551421814,0.295113229
11.00015278,0.529442822,0.279022958
11.20015,0.511227114,0.259830492
11.40015556,0.498725237,0.250074579
11.60015278,0.486491914,0.24028197
11.80016667,0.476127865,0.231659872
12.00016111,0.459940443,0.217335982
12.20015833,0.4465587,0.207356673
12.40015833,0.441311304,0.205466975
12.60015278,0.422501951,0.192454098
12.80015,0.416791654,0.181180101
13.00015556,0.40896473,0.174389202
13.20015278,0.393862123,0.163054839
13.40015833,0.387720726,0.157970677
13.60016111,0.380247162,0.150017984
13.80015833,0.373625196,0.144597252
14.00015833,0.366565063,0.137328359
14.20015833,0.356112674,0.129638461
14.40015278,0.351310512,0.121967265
14.60015,0.345363463,0.120644735
14.80015556,0.338010042,0.112263833
15.00015278,0.331384542,0.107804634
15.20016111,0.324250203,0.10543313
15.40016389,0.322868566,0.099658027
15.60015833,0.319518713,0.09729987
15.80016667,0.312023947,0.093030163
16.00015278,0.311377298,0.091174815